rgn_id,year,taxa_code,sust_coeff
25,2012,Abalones nei_201,0.55
25,2012,Banana prawn_202,0.2
25,2012,Barramundi(=Giant seaperch)_203,0.17
25,2012,Barramundi(=Giant seaperch)_204,0.17
25,2012,Blood cockle_205,0.67
25,2012,Blood cockle_206,0.67
25,2012,Cupped oysters nei_207,0.83
25,2012,Cupped oysters nei_208,0.83
25,2012,Fourfinger threadfin_209,0.444010417
25,2012,Giant tiger prawn_210,0.1
25,2012,Giant tiger prawn_211,0.1
25,2012,Green mussel_212,0.8
25,2012,Green mussel_213,0.8
25,2012,Groupers nei_214,0.33
25,2012,Groupers nei_215,0.33
25,2012,Indo-Pacific swamp crab_216,0.416666667
25,2012,Marine fishes nei_217,0.477777778
25,2012,Metapenaeus shrimps nei_218,0.372222222
25,2012,Penaeus shrimps nei_219,0.27
25,2012,Sea mussels nei_220,0.791666667
25,2012,Squaretail mullet_221,0.444010417
25,2012,Whiteleg shrimp_222,0.23
25,2012,Whiteleg shrimp_223,0.23
